/Users/zachvp/Downloads/_music/Brian Douglas - Torn Apart.aiff	/Users/zachvp/Music/conversion output/re-encoded/Brian Douglas - Torn Apart.aiff	36.75
/Users/zachvp/Downloads/_music/Alejandro Mosso - mosso012 - 02 Tetrose.aiff	/Users/zachvp/Music/conversion output/re-encoded/Alejandro Mosso - mosso012 - 02 Tetrose.aiff	37.28
/Users/zachvp/Downloads/_music/Hooj Choons - Toomy Disco - Trick or Treat.aiff	/Users/zachvp/Music/conversion output/re-encoded/Hooj Choons - Toomy Disco - Trick or Treat.aiff	38.74
/Users/zachvp/Downloads/_music/Mihai Popoviciu & David Delgado - PLZ045 - 03 Black Light.aiff	/Users/zachvp/Music/conversion output/re-encoded/Mihai Popoviciu & David Delgado - PLZ045 - 03 Black Light.aiff	38.34
/Users/zachvp/Downloads/_music/Hooj Choons - Toomy Disco - Mental Dub (Message Mix)).aiff	/Users/zachvp/Music/conversion output/re-encoded/Hooj Choons - Toomy Disco - Mental Dub (Message Mix)).aiff	33.04
/Users/zachvp/Downloads/_music/Polyfan Polyphenix - POLYTWO.aiff	/Users/zachvp/Music/conversion output/re-encoded/Polyfan Polyphenix - POLYTWO.aiff	22.87
/Users/zachvp/Downloads/_music/Alejandro Mosso - mosso012 - 01 Pentose.aiff	/Users/zachvp/Music/conversion output/re-encoded/Alejandro Mosso - mosso012 - 01 Pentose.aiff	35.19
/Users/zachvp/Downloads/_music/Josh Butler & Chesster - Last Day EP - 02 Get Movin (Extended Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Josh Butler & Chesster - Last Day EP - 02 Get Movin (Extended Mix).aiff	28.3
/Users/zachvp/Downloads/_music/Mihai Popoviciu & David Delgado - PLZ045 - 01 Evolution.aiff	/Users/zachvp/Music/conversion output/re-encoded/Mihai Popoviciu & David Delgado - PLZ045 - 01 Evolution.aiff	46.15
/Users/zachvp/Downloads/_music/Mihai Popoviciu & David Delgado - PLZ045 - 02 Shifting.aiff	/Users/zachvp/Music/conversion output/re-encoded/Mihai Popoviciu & David Delgado - PLZ045 - 02 Shifting.aiff	40.9
/Users/zachvp/Downloads/_music/Fred P - I Want Your Love.aiff	/Users/zachvp/Music/conversion output/re-encoded/Fred P - I Want Your Love.aiff	28.61
/Users/zachvp/Downloads/_music/Fritz Schnackenpfefferhausen - Changed (Pump Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Fritz Schnackenpfefferhausen - Changed (Pump Mix).aiff	31.41
/Users/zachvp/Downloads/_music/DJ Alistair - Lost and Found.aiff	/Users/zachvp/Music/conversion output/re-encoded/DJ Alistair - Lost and Found.aiff	41.43
/Users/zachvp/Downloads/_music/Al Wootton - Bajon.aiff	/Users/zachvp/Music/conversion output/re-encoded/Al Wootton - Bajon.aiff	21.79
/Users/zachvp/Downloads/_music/Polyfan Polyphenix - POLYONE.aiff	/Users/zachvp/Music/conversion output/re-encoded/Polyfan Polyphenix - POLYONE.aiff	38.32
/Users/zachvp/Downloads/_music/Al Wootton - Shuffle.aiff	/Users/zachvp/Music/conversion output/re-encoded/Al Wootton - Shuffle.aiff	17.3

=> size diff sum: 536.42 MB